Model Type,Model,Task Category,Task Group,Task,Metric,Score
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,50%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,84.62%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,58.33%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,100%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,56%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,80%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,70%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,65%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,90%
VLM (TI2T),Qwen3-VL-235B-A22B,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,75%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,90%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,40%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,0%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,0%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,69.23%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,25%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,46.67%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,40%
IGM (TI2I),GPT Image 1.5,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,22.86%
IGM (TI2I),GPT Image 1.5,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,50%
IGM (TI2I),GPT Image 1.5,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,40%
IGM (TI2I),GPT Image 1.5,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,65%
IGM (TI2I),GPT Image 1.5,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,50%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,56.67%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,65%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,80%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,80%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,69.23%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,75%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,80%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,44%
IGM (TI2I),Nano Banana Pro,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,62.86%
IGM (TI2I),Nano Banana Pro,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,75%
IGM (TI2I),Nano Banana Pro,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,45%
IGM (TI2I),Nano Banana Pro,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,75%
IGM (TI2I),Nano Banana Pro,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,50%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,100%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,80%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,20%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,10%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,69.23%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,75%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,60%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,36%
IGM (TI2I),Seedream 4.5,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,48.57%
IGM (TI2I),Seedream 4.5,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,55%
IGM (TI2I),Seedream 4.5,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,60%
IGM (TI2I),Seedream 4.5,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,55%
IGM (TI2I),Seedream 4.5,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,55%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only Math Reasoning,GSM8K,Accuracy,0%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only Math Reasoning,MATH-500,Accuracy,0%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only Math Reasoning,AIME24,Accuracy,0%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only Math Reasoning,AIME25,Accuracy,0%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Accuracy,15.38%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Accuracy,16.67%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Accuracy,6.67%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Accuracy,4%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Accuracy,8.57%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Multimodal Math Reasoning,MathVista,Accuracy,15%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Multimodal Math Reasoning,MathVision,Accuracy,15%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Accuracy,30%
IGM (TI2I),Qwen-Image-Edit-2511,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Accuracy,25%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,0%
VGM (TI2V),Wan2.2-TI2V-5B,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,0%
VGM (TI2V),Seedance 1.0 Pro,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,0%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,76.6%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,40%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,10%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,20%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,61.5%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,33.3%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,86.6%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,16%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,65.71%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,30%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,10%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,30%
VGM (TI2V),MiniMax Hailuo 2.3,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,80%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,GSM8K,Audio,93.33%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∩ A,80%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∪ A,93.33%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,70%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,MATH-500,Audio,80%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∩ A,55%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∪ A,95%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME24,Audio,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME24,V ∩ A,40%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME24,V ∪ A,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME25,Audio,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME25,V ∩ A,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only Math Reasoning,AIME25,V ∪ A,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Audio,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∩ A,53.85%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∪ A,61.54%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,16.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Audio,41.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∩ A,16.67%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∪ A,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,60.0%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Audio,80.0%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∩ A,53.3%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∪ A,86.7%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,52%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Audio,40%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∩ A,32%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∪ A,56%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,42.86%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Audio,51.43%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∩ A,40%
VGM (TI2VA),Veo 3.1,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∪ A,57.14%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,Audio,25%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,V ∩ A,25%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVista,V ∪ A,55%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,45%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,Audio,5%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,V ∩ A,0%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal Math Reasoning,MathVision,V ∪ A,50%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,35%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Audio,20%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∩ A,15%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∪ A,65%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,45%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Audio,10%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∩ A,5%
VGM (TI2VA),Veo 3.1,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∪ A,50%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∪ A,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME24,V ∪ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only Math Reasoning,AIME25,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Last Frame,15.38%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,Audio,30.77%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,BBH,V ∪ A,46.15%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,Audio,33.33%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU,V ∪ A,33.33%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,MMLU-Pro,V ∪ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Last Frame,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,GPQA,V ∪ A,20%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Last Frame,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,Audio,5.71%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Text-Only General Knowledge Reasoning,SuperGPQA,V ∪ A,5.71%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,Last Frame,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVista,V ∪ A,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,Last Frame,30%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal Math Reasoning,MathVision,V ∪ A,30%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Last Frame,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,Audio,5%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMBench,V ∪ A,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Last Frame,10%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,Audio,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∩ A,0%
VGM (TI2VA),MOVA-360p,Text-Centric,Multimodal General Knowledge Reasoning,MMMU,V ∪ A,10%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,Last Frame,30%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,GSM8K,V ∪ A,30%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,Last Frame,35%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,Audio,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∩ A,0%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,MATH-500,V ∪ A,35%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,Last Frame,20%
VGM (TI2VA),MOVA-720p,Text-Centric,Text-Only Math Reasoning,AIME24,Audio,0%
